case_id,state,isMetro,areaname,county,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,childcare_cost,taxes,total_cost,median_family_income
1,AL,True,"Montgomery, AL MSA",Autauga County,1p0c,8505.72876,3454.91712,10829.16876,5737.47984,4333.81344,0.0,6392.94504,39254.0532,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,1p1c,12067.5024,5091.70788,11588.19288,8659.5564,6217.45896,6147.8298,7422.07836,57194.3256,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,1p2c,12067.5024,7460.20308,12361.7772,11581.6326,7075.65816,15824.694,9769.56228,76141.0308,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,1p3c,15257.1504,9952.23924,13452.186,14503.7076,9134.3562,18802.1892,13101.7032,94203.5328,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,1p4c,15257.1504,12182.214,13744.5984,17425.7856,9942.36396,18802.1892,13469.2188,100823.52,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,2p0c,10180.2942,6334.01436,12861.8868,11474.95968,5983.78524,0.0,8236.73076,55071.6684,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,2p1c,12067.5024,7883.31888,13589.112,14397.0372,7228.96944,6147.8298,9459.9024,70773.6744,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,2p2c,12067.5024,9984.05268,14723.6076,17319.1128,7990.1484,15824.694,11168.75028,89077.8696,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,2p3c,15257.1504,12189.7704,14994.6,20241.1872,9945.10176,18802.1892,13210.1484,104640.1524,73010.4140625
1,AL,True,"Montgomery, AL MSA",Autauga County,2p4c,15257.1504,14917.3584,15064.2636,23163.2652,10933.41504,18802.1892,13417.2192,111554.8596,73010.4140625
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p0c,8616.0,3714.29484,10731.65256,5593.47984,4467.7518,0.0,6455.71512,39578.8944,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p1c,11064.0,5473.96836,11522.93844,8444.00688,5992.35828,5962.7142,7096.60908,55556.5956,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p2c,11064.0,8020.27812,12869.3352,11294.53344,6914.98608,15348.1992,9477.63648,74988.9672,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p3c,14988.0,10699.404,13452.9648,14145.0612,9307.55928,18236.04,12997.8444,93826.8756,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,1p4c,14988.0,13096.794,13773.354,16995.588,10176.22776,18236.04,13433.5236,100699.524,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p0c,8676.0,6809.54076,12838.26,11186.95968,5611.02168,0.0,7819.80108,52941.5856,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p1c,11064.0,8475.15888,14214.2784,14037.486,7079.8074,5962.7142,9341.41404,70174.8576,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p2c,11064.0,10733.60664,14768.1084,16888.014,7898.13276,15348.1992,10867.22676,87567.2868,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p3c,14988.0,13104.918,15071.3112,19738.5408,10179.1728,18236.04,13172.8524,104490.8316,77884.7578125
2,AL,True,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p4c,14988.0,16037.2776,15174.9828,22589.0664,11241.68184,18236.04,13461.672,111728.7192,77884.7578125
3,AL,False,"Barbour County, AL",Barbour County,1p0c,5856.0,3237.03924,10890.72876,5686.79004,3294.7668,0.0,5458.2774,34423.602,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,1p1c,7776.0,4770.609,11436.48264,8495.9568,4546.13124,4846.73616,5425.51176,47297.4288,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,1p2c,7776.0,6989.73852,12036.7944,11305.12356,5350.2096,11644.67508,6235.30884,61337.8476,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,1p3c,9672.0,9324.6204,12404.508,14114.2908,6883.22532,13736.3484,7543.2576,73678.248,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,1p4c,9672.0,11413.96584,12530.8248,16923.4572,7640.27712,13736.3484,7203.9456,79120.8168,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,2p0c,5904.0,5934.57168,12711.6432,11373.58008,4289.58144,0.0,6632.1174,46845.492,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,2p1c,7776.0,7386.17208,13271.94,14182.746,5493.85332,4846.73616,7386.26592,60343.7112,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,2p2c,7776.0,9354.42768,13611.864,16991.9136,6207.02928,11644.67508,8052.29664,73638.2052,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,2p3c,9672.0,11421.0462,13720.7796,19801.0812,7642.84272,13736.3484,8714.4924,84708.5916,42822.75390625
3,AL,False,"Barbour County, AL",Barbour County,2p4c,9672.0,13976.622,13639.788,22610.2476,8568.82836,13736.3484,8253.5544,90457.3884,42822.75390625
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p0c,7973.92164,3050.28684,11446.48464,5845.47984,3994.50552,0.0,6261.07248,38571.75,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p1c,9779.52168,4495.38168,12233.8776,8821.218,5172.36072,5360.56824,6450.0,52312.9272,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p2c,9779.52168,6586.48536,13566.48,11796.9558,5930.05008,13798.2588,8120.8206,69578.5728,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p3c,12717.2832,8786.66232,14094.588,14772.6948,7791.72732,16394.4708,10569.82032,85127.244,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,1p4c,12717.2832,10755.46872,14358.126,17748.432,8505.10332,16394.4708,10691.88276,91170.768,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p0c,8500.9614,5592.19296,13391.6292,11690.95968,5106.50568,0.0,7616.02368,51898.272,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p1c,9779.52168,6960.04764,14747.0328,14666.6988,6065.406,5360.56824,8536.58568,66115.8636,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p2c,9779.52168,8814.74928,15243.2712,17642.436,6737.43756,13798.2588,9694.22676,81709.8984,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p3c,12717.2832,10762.13892,15485.2176,20618.1744,8507.52024,16394.4708,10933.82004,95418.6264,59443.98828125
4,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p4c,12717.2832,13170.2796,15526.3284,23593.9116,9380.08452,16394.4708,10935.81228,101718.1752,59443.98828125
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p0c,7246.05684,3257.7894,11329.07664,5845.47984,3805.9578,0.0,6062.98824,37547.3496,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p1c,8886.84084,4801.1898,12168.2568,8821.218,4959.71304,5118.81588,6171.906,50927.9412,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p2c,8886.84084,7034.54592,13546.6704,11796.9558,5768.94612,13175.9808,7710.85176,67920.7908,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p3c,11556.44016,9384.3948,14122.7064,14772.6948,7587.69072,15655.1088,9983.406,83062.4412,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,1p4c,11556.44016,11487.1326,14435.4864,17748.432,8349.59544,15655.1088,10190.66376,89422.8576,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p0c,7724.98824,5972.61432,13309.2,11690.95968,4963.18176,0.0,7466.6016,51127.5468,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p1c,8886.84084,7433.52024,14708.7744,14666.6988,5913.51012,5118.81588,8325.42996,65053.5876,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p2c,8886.84084,9414.39252,15253.2432,17642.436,6631.25832,13175.9808,9438.76536,80442.9204,63966.12890625
5,AL,True,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p3c,11556.44016,11494.2576,15544.386,20618.1744,8352.17652,15655.1088,10580.92164,93801.4632,63966.12890625
