states,cities,population,violent_crime,murder,rape,robbery,agrv_assault,prop_crime,burglary,larceny,vehicle_theft
Texas,Abilene,"119,886",393.7,2.5,31.7,105.9,253.6,"3,664.3",865,"2,656.7",142.6
Ohio,Akron,"198,390",886.6,12.1,84.2,290.8,499.5,"5,057.7","1,728.4","2,965.9",363.4
Virginia,Alexandria,"145,892",166.6,-,6.2,94.6,65.8,"2,049.5",192.6,"1,633.4",223.5
Pennsylvania,Allentown,"119,334",547.2,12.6,45.3,313.4,176,"3,857.2","1,045.8","2,503.1",308.4
Texas,Amarillo,"196,576",650.1,5.1,56,141.4,447.7,"4,527.5","1,061.7","3,145.9",320
New York,Amherst Town,"117,591",74.8,-,6,23.8,45.1,"1,922.8",182,"1,709.3",31.5
Michigan,Ann Arbor,"115,008",197.4,0.9,30.4,43.5,122.6,"2,370.3",620.8,"1,650.3",99.1
California,Antioch,"105,009","1,017.1",9.5,27.6,354.3,625.7,"4,530.1","1,658","1,828.4","1,043.7"
Colorado,Arvada,"109,029",144.9,-,20.2,26.6,98.1,"2,389.3",357.7,"1,847.2",184.4
Georgia,Athens-Clarke County,"117,457",387.4,4.3,40.9,134.5,207.7,"3,917.2",978.2,"2,732.9",206
Illinois,Aurora,"199,765",281.8,-,32.5,62.6,186.7,"1,784.6",472.6,"1,249",63.1
Louisiana,Baton Rouge,"231,500","1,082.9",28.5,27.6,446.2,580.6,"5,209.1","1,652.7","3,348.2",208.2
Texas,Beaumont,"120,323","1,032.2",10.8,63.2,339.1,619.2,"4,840.3","1,519.2","3,089.2",231.9
Washington,Bellevue,"126,022",127.8,1.6,20.6,53.2,52.4,"2,779.7",543.6,"2,102",134.1
California,Berkeley,"114,961",423.6,4.3,33.9,291.4,93.9,"4,954.7",844.6,"3,552.5",557.6
Montana,Billings,"106,371",347.8,2.8,35.7,63.9,245.4,"4,523.8",745.5,"3,391.9",386.4
Alabama,Birmingham,"213,266","1,517.8",31.4,71.3,460.9,954.2,"6,934.1","2,205.7","4,239.8",488.6
Idaho,Boise,"211,569",268,0.5,35.4,30.3,201.8,"2,524.9",431.5,"2,019.2",74.2
Colorado,Boulder,"100,257",248.4,-,31.9,47.9,168.6,"2,929.5",470.8,"2,331",127.7
Connecticut,Bridgeport,"146,030","1,205.2",15.1,265.7,415,509.5,"3,528.7",943,"1,991.4",594.4
Oklahoma,Broken Arrow,"100,688",153.9,1,32.8,38.7,81.4,"2,172.1",371.4,"1,686.4",114.2
Texas,Brownsville,"181,102",261.2,1.7,21,69,169.5,"4,603.5",632.2,"3,857.5",113.7
California,Burbank,"105,057",231.3,1.9,22.8,105.7,100.9,"2,373",364.6,"1,819",189.4
Massachusetts,Cambridge,"106,981",402.9,0.9,18.7,126.2,257.1,"2,889.3",469.2,"2,320",100
Florida,Cape Coral,"159,625",143.5,2.5,10,25.7,105.2,"2,205.8",538.8,"1,595.6",71.4
California,Carlsbad,"107,879",245.6,1.9,24.1,51,168.7,"1,955",460.7,"1,356.1",138.1
Texas,Carrollton,"124,477",144.6,1.6,5.6,60.3,77.1,"2,742.7",619.4,"1,894.3",229
North Carolina,Cary,"141,016",81.6,-,7.8,20.6,53.2,"1,353.7",262.4,"1,046.7",44.7
Iowa,Cedar Rapids,"128,401",277.3,2.3,33.5,75.5,165.9,"3,678.3",752.3,"2,728.2",197.8
Colorado,Centennial,"104,022",150.9,1,38.5,31.7,79.8,"1,383.4",266.3,"1,043",74
Arizona,Chandler,"242,721",258.7,1.6,26.4,61.4,169.3,"2,707.2",472.6,"2,129.2",105.5
South Carolina,Charleston,"123,856",239,9.7,15.3,84,130,"2,723.3",302,"2,231.6",189.7
Virginia,Chesapeake,"227,531",368.7,5.3,15.8,88.8,258.9,"2,765.3",454.4,"2,188.3",122.6
California,Chula Vista,"249,830",232.6,3.2,13.2,90.9,125.3,"2,033.8",370.7,"1,262.1",401.1
Tennessee,Clarksville,"137,356",637,7.3,33.5,72.1,524.2,"2,723.6",710.6,"1,891.4",121.6
Florida,Clearwater,"109,255",665.4,2.7,54,188.5,420.1,"3,902.8",841.2,"2,900.6",161.1
Missouri,Columbia,"110,646",430.2,2.7,37.1,146.4,244,"3,814.9",708.6,"2,977.1",129.2
Georgia,Columbus,"196,178",506.7,8.7,15.8,215.6,266.6,"5,742.7","1,380.9","3,930.6",431.2
California,Concord,"125,205",321.1,-,15.2,122.2,183.7,"3,340.1",662.1,"2,151.7",526.3
Florida,Coral Springs,"125,021",183.2,0.8,8,62.4,112,"2,255.6",457.5,"1,678.1",120
California,Corona,"157,342",133.5,0.6,10.8,64.8,57.2,"2,633.1",547.2,"1,758",327.9
California,Costa Mesa,"112,635",225.5,3.6,28.4,73.7,119.9,"3,621.4",593.1,"2,707.9",320.5
California,Daly City,"103,311",209.1,-,8.7,73.6,126.8,"1,745.2",382.3,"1,114.1",248.8
Iowa,Davenport,"101,193",596.9,4,39.5,149.2,404.2,"4,039.8",879.5,"2,877.7",282.6
Ohio,Dayton,"142,139",973.7,16.9,78.8,445.3,432.7,"5,899.2","2,140.9","3,270.7",487.6
Texas,Denton,"118,942",310.2,0.8,72.3,68.9,168.1,"2,742.5",531.4,"2,079.2",132
Iowa,Des Moines,"207,400",527.5,3.4,48.2,120.5,355.4,"4,922.9","1,212.2","3,333.7",377
California,Downey,"113,628",335.3,5.3,17.6,167.2,145.2,"3,112.8",589.6,"1,679.2",844
North Carolina,Durham,"235,563",725.9,8.9,26.7,261.1,429.2,"4,363.6","1,394.1","2,670.6",298.9
New Jersey,Edison Township,"101,007",120.8,-,8.9,58.4,53.5,"1,466.2",337.6,"1,018.7",109.9
California,El Cajon,"101,864",358.3,2,23.6,144.3,188.5,"2,369.8",484,"1,499.1",386.8
California,El Monte,"115,356",342.4,3.5,12.1,176,150.8,"1,933.1",495,937.1,501.1
Illinois,Elgin,"109,155",235.4,1.8,61.4,69.6,102.6,"1,815.8",327.1,"1,416.3",72.4
New Jersey,Elizabeth,"126,281",797.4,11.1,29.3,423.7,333.4,"3,445.5",781.6,"1,739.8",924.1
California,Elk Grove,"156,344",327.5,0.6,12.8,60.8,253.3,"2,105.6",431.1,"1,538.9",135.6
Pennsylvania,Erie,"101,972",449.1,7.8,62.8,168.7,209.9,"3,442.1","1,073.8","2,266.3",102
California,Escondido,"147,386",426.1,3.4,25.8,139.8,257.1,"2,637.3",518.4,"1,604.6",514.3
Oregon,Eugene,"158,043",272.1,-,45.6,124,102.5,"5,064.4",958.6,"3,830.6",275.2
Indiana,Evansville,"118,194",473.8,6.8,47.4,168.4,251.3,"5,146.6",957.7,"3,833.5",355.3
Washington,Everett,"105,318",456.7,0.9,43.7,172.8,239.3,"6,092","1,106.2","4,064.8",921
California,Fairfield,"107,110",423.9,7.5,28,129.8,258.6,"3,096.8",631.1,"2,001.7",464
North Dakota,Fargo,"109,813",358.8,1.8,62.8,41.9,252.2,"2,581.7",410.7,"2,029.8",141.1
North Carolina,Fayetteville,"205,966",575.8,10.7,34,271.9,259.3,"6,390.9","1,995","4,028.8",367.1
Michigan,Flint,"101,632","2,729.5",62,106.3,662.2,"1,899","5,554.4","2,931.2","2,171.6",451.6
California,Fontana,"200,874",423.2,2.5,15.4,144.9,260.4,"2,237.2",547.1,"1,189.3",500.8
Colorado,Fort Collins,"148,792",262.8,1.3,29.6,26.9,205,"2,768.3",401.9,"2,271",95.4
Florida,Fort Lauderdale,"170,827",903.3,9.4,28.1,488.8,377,"5,830.5","1,727.5","3,757.6",345.4
California,Fremont,"218,927",139.8,0.9,6.4,60.3,72.2,"1,945.4",537.2,"1,142.8",265.4
Texas,Frisco,"123,205",79.5,-,6.5,19.5,53.6,"2,051.1",357.1,"1,650.1",43.8
California,Fullerton,"138,455",326.5,-,22.4,98.9,205.1,"2,843.5",535.9,"2,074.3",233.3
Florida,Gainesville,"127,036",669.9,4.7,58.3,134.6,472.3,"4,094.1",794.3,"3,111.7",188.1
California,Garden Grove,"175,079",250.7,0.6,9.1,77.1,163.9,"2,294.4",434.7,"1,516.5",343.3
Texas,Garland,"234,984",229.8,3,20,100.4,106.4,"3,691.7",943.9,"2,496.3",251.5
Arizona,Gilbert,"214,264",95.7,2.3,8.9,27.5,56.9,"1,580.3",338.8,"1,164.9",76.5
Arizona,Glendale,"232,997",491.4,5.2,23.2,177.3,285.8,"6,409.5","1,221.9","4,662.3",525.3
California,Glendale,"194,902",119.5,-,3.1,55.4,61.1,"1,561.3",264.7,"1,138",158.5
Texas,Grand Prairie,"181,782",274.5,0.6,27.5,88,158.4,"2,885.9",714,"1,824.2",347.7
Michigan,Grand Rapids,"189,953",771.2,8.4,24.2,243.2,495.4,"3,484","1,009.2","2,333.7",141.1
Wisconsin,Green Bay,"106,080",484.5,0.9,41.5,82,360.1,"2,807.3",621.2,"2,083.3",102.8
Oregon,Gresham,"108,202",450.1,3.7,30.5,191.3,224.6,"4,489.8",818.8,"2,985.2",685.8
Virginia,Hampton,"137,905",227.7,6.5,11.6,105.9,103.7,"3,377",549.7,"2,637.3",190
Connecticut,Hartford,"125,203","1,321.9",18.4,21.6,511.2,770.7,"4,248.3",838.6,"2,769.1",640.6
California,Hayward,"147,424",415.8,4.1,31.2,232,148.6,"3,250.5",752.3,"1,510.6",987.6
Florida,Hialeah,"233,107",347.5,1.7,17.2,111.5,217.1,"3,086.1",449.6,"2,320.4",316.2
North Carolina,High Point,"106,801",520.6,4.7,17.8,173.2,324.9,"4,135.7","1,112.3","2,755.6",267.8
Florida,Hollywood,"145,313",442.5,3.4,26.2,191.3,221.6,"5,307.9","1,347.4","3,506.2",454.2
California,Huntington Beach,"194,677",160.8,1.5,15.9,42.6,100.7,"2,809.8",409.4,"2,235.5",164.9
Alabama,Huntsville,"183,691",923.3,7.6,39.2,248.2,628.2,"5,041.6","1,178.6","3,476.5",386.5
Missouri,Independence,"117,433",457.3,4.3,36.6,108.1,308.3,"6,090.3","1,067","4,356.5",666.8
California,Inglewood,"111,488",699.6,12.6,24.2,334.6,328.3,"2,397.6",579.4,"1,245.9",572.3
California,Irvine,"217,528",50.6,0.9,3.7,13.3,32.6,"1,518.9",262,"1,194.8",62.1
Texas,Irving,"224,007",226.3,1.3,12.1,60.3,152.7,"2,815.5",570.1,"1,993.7",251.8
Mississippi,Jackson,"175,939",948.1,35.8,76.7,454.1,381.4,"6,575","2,344","3,585.3",645.7
Illinois,Joliet,"148,471",340.8,7.4,20.2,70,243.1,"2,583",642.5,"1,834",106.4
Kansas,Kansas City,"147,201",595.8,10.2,57.7,188.2,339.7,"5,120.9","1,203.8","3,096.4",820.6
Washington,Kent,"122,102",444.7,1.6,55.7,158.9,228.5,"4,478.2","1,014.7","2,755.9",707.6
Texas,Killeen,"131,965",644.9,9.1,62.1,178.8,394.8,"3,778.3","1,135.1","2,497.6",145.5
Tennessee,Knoxville,"182,254",973.4,9.9,65.3,289.7,608.5,"6,676.9","1,581.3","4,594.1",501.5
Louisiana,Lafayette,"122,852",634.1,9,9,164.4,451.8,"5,547.3","1,082.6","4,268.6",196.2
Colorado,Lakewood,"146,404",461.7,1.4,64.2,101.1,295.1,"4,579.8",626.3,"3,538.2",415.3
California,Lancaster,"159,155",539.7,5,33.9,196.7,304.1,"2,197.9",655.3,"1,288.7",253.8
Michigan,Lansing,"114,688",939.9,11.3,80.2,177,671.4,"3,290.7","1,139.6","1,920.9",230.2
Texas,Laredo,"245,558",421.9,3.3,33,74.5,311.1,"4,351.3",699.6,"3,496.5",155.2
Arkansas,Little Rock,"196,055","1,315.4",23,69.9,411.6,811,"8,061","2,164.7","5,337.8",558.5
Massachusetts,Lowell,"108,539",539,-,34.1,160.3,344.6,"2,879.1",782.2,"1,825.2",271.8
Texas,Lubbock,"237,241",827,4.6,43.8,137,641.5,"5,173.2","1,306.3","3,552.9",314
Wisconsin,Madison,"237,508",377.7,1.3,48,101.5,226.9,"3,264.3",674.1,"2,483.3",106.9
New Hampshire,Manchester,"110,040",567.1,0.9,65.4,186.3,314.4,"3,496.9",771.5,"2,588.1",137.2
Texas,McAllen,"135,745",122.3,0.7,2.2,41.3,78.1,"4,025.9",370.5,"3,499.9",155.4
